station_id,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,AirTemperature,DewPoint,SeaTemperature,RelativeHumidity
M6,1019.6,250.0,17.331820558423797,25.190067422737123,3.4,7.0,9.8,6.2,10.8,78.0
M6,1001.3,320.0,25.0,35.0,4.8,8.0,9.8,6.2,10.5,78.0
M6,1019.2,150.0,19.12774671670641,26.843626356269066,2.5,5.0,13.1,9.9,14.3,81.0
M2,1024.0,10.0,16.0,21.0,1.2,5.0,7.5,3.6,9.706350153340512,76.0
M4,1005.6,290.0,19.0,25.0,3.6373222717407905,7.310309251188182,7.8,0.5,9.7,60.0
M6,1016.0,180.0,14.711586038020725,19.9919927749441,2.0,6.0,12.1,11.1,11.1,94.0
M6,1002.9,150.0,33.0,45.0,6.0,8.0,11.0,10.0,11.4,94.0
M6,1017.3,250.0,17.0,23.0,3.1,7.0,15.4,13.9,15.5,91.0
M6,1005.9,240.0,14.0,20.0,2.4,7.0,15.0,11.6,17.0,80.0
M6,1006.8,280.0,6.0,14.0,5.6,10.0,8.3,5.0,11.4,80.0
M5,1016.2,170.0,12.0,16.0,1.0,4.0,15.3,14.5,14.5,95.0
M5,1018.8,140.0,7.0,12.0,1.2,6.0,13.3,9.9,14.3,80.0
M6,1027.5,360.0,7.0,10.0,1.0,5.0,12.4,10.1,12.7,86.0
M5,1006.2,150.0,17.0,25.0,1.7,5.0,8.7,7.3,8.3,91.0
M4,997.2,180.0,21.0,29.0,3.366878562145503,6.627058481158971,12.5,11.4,12.9,93.0
M6,1025.2,240.0,20.0,29.0,10.1,12.0,9.6,5.1,11.1,74.0
M5,993.0,190.0,31.0,45.0,3.7,7.0,10.1,8.2,11.3,88.0
M6,1032.3,360.0,14.0,21.0,1.7,5.0,12.7,10.8,14.3,88.0
M6,1018.7,240.0,17.0,21.0,2.2,7.0,12.5,9.5,12.9,82.0
M6,995.8,220.0,15.0,20.0,2.5,7.0,11.1,7.0,13.2,76.0
M4,1025.4,130.0,9.0,12.0,1.2357912956457815,5.813766830916894,9.5,8.2,10.1,92.0
M6,1006.5,210.0,16.0,21.0,2.7,6.0,13.0,9.7,13.3,80.0
