ID,name,wmoID,time,pressure,windDir,windSpeed,windGust,temp,dewPoint,humidity,period,height,seaTemp,reportDate,reportTime,updated_At,created_at
444313,M5,62094,"19 Dec 11:00",995.3,212,46,61,10.8,6.7,76,7.3,4.5,11.0,19-12-2020,11:00,"2020-12-19 12:15:28","2020-12-19 12:15:28"
444325,M5,62094,"19 Dec 12:00",995.4,220,48,61,11.2,6.7,74,7.3,4.3,11.0,19-12-2020,12:00,"2020-12-19 12:21:06","2020-12-19 12:21:06"
444343,M5,62094,"19 Dec 13:00",996.2,235,48,65,10.6,4.9,68,7.4,4.5,11.1,19-12-2020,13:00,"2020-12-19 13:21:06","2020-12-19 13:21:06"
444361,M5,62094,"19 Dec 14:00",997.2,249,37,-,9.5,5.5,76,7.3,4.5,11.0,19-12-2020,14:00,"2020-12-19 14:21:22","2020-12-19 14:21:22"
444385,M5,62094,"19 Dec 15:00",997.5,242,24,-,9.3,6.6,83,7.9,4.6,11.0,19-12-2020,15:00,"2020-12-19 15:20:32","2020-12-19 15:20:32"
444403,M5,62094,"19 Dec 16:00",998.2,238,39,-,9.3,5.1,75,8.1,4.4,11.0,19-12-2020,16:00,"2020-12-19 16:21:04","2020-12-19 16:21:04"
444421,M5,62094,"19 Dec 17:00",998.6,234,39,-,10.3,6.4,77,8.1,4.6,11.0,19-12-2020,17:00,"2020-12-19 17:20:42","2020-12-19 17:20:42"
444439,M5,62094,"19 Dec 18:00",999.1,233,41,-,10.7,6.1,73,8.1,4.2,11.0,19-12-2020,18:00,"2020-12-19 18:30:23","2020-12-19 18:30:23"
444457,M5,62094,"19 Dec 19:00",999.6,240,41,-,10.6,5.6,71,8.0,4.7,11.0,19-12-2020,19:00,"2020-12-19 19:31:09","2020-12-19 19:31:09"
444469,M5,62094,"19 Dec 20:00",1000.1,244,41,-,10.4,6.5,77,7.9,4.9,11.0,19-12-2020,20:00,"2020-12-19 20:21:34","2020-12-19 20:21:34"
444487,M5,62094,"19 Dec 21:00",1000.7,232,44,-,10.5,6.4,76,7.6,4.7,11.0,19-12-2020,21:00,"2020-12-19 21:21:47","2020-12-19 21:21:47"
444505,M5,62094,"19 Dec 22:00",1001.4,241,39,-,10.5,6.3,75,7.3,4.6,11.0,19-12-2020,22:00,"2020-12-19 22:20:37","2020-12-19 22:20:37"
444523,M5,62094,"19 Dec 23:00",1002.4,269,39,-,9.0,6.3,83,7.5,4.6,11.0,19-12-2020,23:00,"2020-12-19 23:21:47","2020-12-19 23:21:47"
444541,M5,62094,"20 Dec 0:00",1003.0,247,35,-,9.9,5.5,74,7.3,4.5,11.0,20-12-2020," 0:00","2020-12-20 00:20:40","2020-12-20 00:20:40"
444559,M5,62094,"20 Dec 1:00",1003.5,219,33,-,9.2,6.1,81,7.5,4.3,11.0,20-12-2020," 1:00","2020-12-20 01:21:47","2020-12-20 01:21:47"
444577,M5,62094,"20 Dec 2:00",1003.7,233,30,-,10.1,7.0,81,7.5,4.1,11.0,20-12-2020," 2:00","2020-12-20 02:21:19","2020-12-20 02:21:19"
444595,M5,62094,"20 Dec 3:00",1004.3,242,33,-,10.4,6.9,79,8.0,4.2,11.0,20-12-2020," 3:00","2020-12-20 03:20:55","2020-12-20 03:20:55"
444613,M5,62094,"20 Dec 4:00",1004.9,241,35,-,10.0,6.2,77,7.5,3.8,11.0,20-12-2020," 4:00","2020-12-20 04:21:28","2020-12-20 04:21:28"
444625,M5,62094,"20 Dec 5:00",1005.2,263,35,-,10.4,6.9,79,7.6,3.8,11.0,20-12-2020," 5:00","2020-12-20 05:20:59","2020-12-20 05:20:59"
444643,M5,62094,"20 Dec 6:00",1005.9,261,39,-,10.3,6.1,75,7.7,4.1,11.0,20-12-2020," 6:00","2020-12-20 06:30:55","2020-12-20 06:30:55"
444661,M5,62094,"20 Dec 7:00",1006.3,260,44,-,9.3,4.9,74,7.3,3.8,11.0,20-12-2020," 7:00","2020-12-20 07:30:08","2020-12-20 07:30:08"
444685,M5,62094,"20 Dec 8:00",1006.9,243,33,-,9.6,6.0,78,7.1,4.0,11.0,20-12-2020," 8:00","2020-12-20 08:21:56","2020-12-20 08:21:56"
444703,M5,62094,"20 Dec 9:00",1008.2,267,41,-,8.3,4.9,79,7.5,3.9,11.0,20-12-2020," 9:00","2020-12-20 09:21:17","2020-12-20 09:21:17"
444721,M5,62094,"20 Dec 10:00",1008.3,250,33,-,9.8,4.8,71,6.7,3.4,11.0,20-12-2020,10:00,"2020-12-20 10:21:45","2020-12-20 10:21:45"
444739,M5,62094,"20 Dec 11:00",1009.2,258,28,-,9.1,4.7,74,6.9,3.4,11.0,20-12-2020,11:00,"2020-12-20 11:21:13","2020-12-20 11:21:13"
444757,M5,62094,"20 Dec 12:00",1009.2,244,30,-,9.5,4.7,72,7.1,3.4,11.0,20-12-2020,12:00,"2020-12-20 12:20:44","2020-12-20 12:20:44"
